policy,seed,sharpe,maxdd,is_bps,auc,adv_pnl,net_leakage,status,timestamp
pink,32,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:11.959705
pink,33,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:20.139428
pink,34,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:28.301409
pink,35,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:36.567914
pink,36,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:44.608970
pink,37,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:52.089947
pink,38,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:59.573597
pink,39,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:07.189118
pink,40,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:14.950554
pink,41,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:23.107304
pink,42,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:31.077637
pink,43,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:39.321381
pink,44,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:47.717246
pink,45,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:12.390189
pink,46,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:20.582604
pink,47,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:28.583728
pink,48,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:36.706527
pink,49,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:44.786322
